purchase_last_90days_count,instore_yn,location_city,product_name,transaction_timestamp,barista_name,Item,Price,promo_redemption
36,Yes,Key West,Chai tea: Spicy Eye Opener Chai,2022-11-18T13:21:07Z,Aria,Chai tea: Spicy Eye Opener Chai,4.99,0
60,Yes,Key West,Clothing: I Need My Bean! Toque,2022-11-20T06:14:31Z,Cleo,Clothing: I Need My Bean! Toque,14.99,0
21,Yes,Key West,Brewed Black tea: English Breakfast Rg,2023-02-08T17:19:15Z,Ember,Brewed Black tea: English Breakfast Rg,3.99,0
63,No,Key West,Hot chocolate: Snow Day Hot Chocolate,2023-02-16T10:48:11Z,Scarlett,Hot chocolate: Snow Day Hot Chocolate,6.99,0
75,Yes,Key West,Brewed herbal tea: Lemon Grass Lg,2023-06-22T01:19:25Z,Aria,Brewed herbal tea: Lemon Grass Lg,4.99,0
47,Yes,Key West,House blend Beans: Our Old Time Diner Blend,2022-09-20T11:09:32Z,Amara,House blend Beans: Our Old Time Diner Blend,9.99,1
47,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2023-01-06T09:52:50Z,Savannah,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
33,Yes,Key West,House blend Beans: Our Old Time Diner Blend,2022-09-16T18:19:51Z,Ivy,House blend Beans: Our Old Time Diner Blend,9.99,0
69,Yes,Key West,Herbal tea: Peppermint,2022-11-08T19:12:53Z,Willow,Herbal tea: Peppermint,4.99,0
75,Yes,Key West,Hot chocolate: Sustainably Grown Organic Lg,2022-07-10T18:04:44Z,Phoenix,Hot chocolate: Sustainably Grown Organic Lg,6.99,0
16,Yes,Key West,Brewed herbal tea: Lemon Grass Lg,2023-03-28T11:14:58Z,Stella,Brewed herbal tea: Lemon Grass Lg,4.99,0
46,Yes,Key West,Barista Espresso: Ouro Brasileiro shot promo,2023-04-11T19:46:10Z,Seraphina,Barista Espresso: Ouro Brasileiro shot promo,2.99,0
58,Yes,Key West,Hot chocolate: Snow Day Hot Chocolate,2023-03-23T18:15:55Z,Scarlett,Hot chocolate: Snow Day Hot Chocolate,6.99,0
61,Yes,Key West,Drinking Chocolate: Chili Mayan,2022-11-18T17:42:48Z,Violet,Drinking Chocolate: Chili Mayan,9.99,0
24,No,Key West,Premium Beans: Civet Cat,2022-12-10T08:42:16Z,Zara,Premium Beans: Civet Cat,59.99,0
60,Yes,Miami,Brewed Chai tea: Traditional Blend Chai Lg,2022-11-14T20:38:10Z,Willow,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
69,Yes,Key West,Seasonal drink: Happy Holidays hot chocolate,2023-04-30T22:07:16Z,Seraphina,Seasonal drink: Happy Holidays hot chocolate,5.99,0
32,No,Tampa,Premium Beans: Civet Cat,2023-01-11T21:34:44Z,Sienna,Premium Beans: Civet Cat,59.99,1
23,Yes,Miami,Brewed herbal tea: Peppermint Lg,2022-11-03T05:44:26Z,Nova,Brewed herbal tea: Peppermint Lg,4.99,0
61,Yes,Miami,Premium brewed coffee: Jamaican Coffee River Sm,2022-12-23T13:53:12Z,Stella,Premium brewed coffee: Jamaican Coffee River Sm,5.99,0
25,Yes,Key West,Herbal tea: Lemon Grass,2022-12-01T19:52:05Z,Violet,Herbal tea: Lemon Grass,4.99,0
20,Yes,Key West,Gourmet brewed coffee: Ethiopia Lg,2022-10-21T02:38:02Z,Cleo,Gourmet brewed coffee: Ethiopia Lg,6.99,0
27,No,Orlando,Premium brewed coffee: Jamaican Coffee River Lg,2023-01-11T15:09:52Z,Ember,Premium brewed coffee: Jamaican Coffee River Lg,7.99,1
15,Yes,Key West,Organic Chocolate: Sustainably Grown Organic,2022-10-05T17:39:21Z,Aria,Organic Chocolate: Sustainably Grown Organic,9.99,0
39,Yes,Key West,Brewed Green tea: Serenity Green Tea Lg,2023-04-02T21:23:44Z,Seraphina,Brewed Green tea: Serenity Green Tea Lg,5.99,0
40,Yes,Key West,Barista Espresso: Ouro Brasileiro shot promo,2023-03-09T12:55:57Z,Cleo,Barista Espresso: Ouro Brasileiro shot promo,2.99,0
60,Yes,Key West,Regular syrup: Chocolate syrup,2022-11-12T16:07:31Z,Phoenix,Regular syrup: Chocolate syrup,3.99,1
47,Yes,Miami,Organic brewed coffee: Brazilian Sm,2022-09-03T12:05:01Z,Cleo,Organic brewed coffee: Brazilian Sm,3.99,0
63,Yes,Key West,Drip coffee: Our Old Time Diner Blend Sm,2023-03-11T00:56:11Z,Savannah,Drip coffee: Our Old Time Diner Blend Sm,2.99,0
60,No,Key West,Drinking Chocolate: Dark chocolate,2022-08-05T00:01:59Z,Lola,Drinking Chocolate: Dark chocolate,8.99,0
62,Yes,Key West,Premium brewed coffee: Jamaican Coffee River Lg,2023-04-05T01:06:27Z,Ember,Premium brewed coffee: Jamaican Coffee River Lg,7.99,0
69,Yes,Jacksonville,Green tea: Serenity Green Tea,2023-02-24T15:15:38Z,Zara,Green tea: Serenity Green Tea,5.99,1
55,Yes,Key West,Clothing: I Need My Bean! Toque,2022-07-30T05:17:45Z,Scarlett,Clothing: I Need My Bean! Toque,14.99,0
26,Yes,Key West,Gourmet brewed coffee: Columbian Medium Roast Lg,2023-02-09T09:22:54Z,Zara,Gourmet brewed coffee: Columbian Medium Roast Lg,6.99,0
57,Yes,Miami,Scone: Jumbo Savory Scone,2023-01-08T00:21:19Z,Ember,Scone: Jumbo Savory Scone,4.99,0
48,Yes,Key West,Scone: Ginger Scone promo,2022-07-24T11:58:32Z,Amara,Scone: Ginger Scone promo,2.49,0
43,Yes,Miami,Premium Beans: Civet Cat,2023-05-29T16:30:40Z,Cleo,Premium Beans: Civet Cat,59.99,1
65,Yes,Key West,Brewed Green tea: Serenity Green Tea Rg,2023-05-09T08:08:52Z,Seraphina,Brewed Green tea: Serenity Green Tea Rg,4.99,0
72,Yes,Miami,Premium brewed coffee: Jamaican Coffee River Lg,2023-03-23T19:34:15Z,Cleo,Premium brewed coffee: Jamaican Coffee River Lg,7.99,0
64,Yes,Key West,Regular syrup: Carmel syrup,2022-08-15T12:54:24Z,Stella,Regular syrup: Carmel syrup,3.99,0
58,Yes,Key West,Gourmet brewed coffee: Columbian Medium Roast Lg,2023-06-20T21:08:45Z,Amara,Gourmet brewed coffee: Columbian Medium Roast Lg,6.99,1
29,Yes,Key West,House blend Beans: Our Old Time Diner Blend,2023-01-21T05:47:30Z,Ivy,House blend Beans: Our Old Time Diner Blend,9.99,0
62,Yes,Key West,Organic brewed coffee: Brazilian Sm,2022-08-01T14:23:29Z,Sienna,Organic brewed coffee: Brazilian Sm,3.99,0
36,Yes,Miami,Gourmet Beans: Ethiopia,2022-07-29T02:51:40Z,Zara,Gourmet Beans: Ethiopia,13.99,0
67,Yes,Key West,Scone: Ginger Scone,2022-06-25T21:40:18Z,Aria,Scone: Ginger Scone,3.49,0
53,No,Key West,Scone: Jumbo Savory Scone,2023-05-16T10:24:22Z,Seraphina,Scone: Jumbo Savory Scone,4.99,0
31,No,Miami,Clothing: I Need My Bean! Toque,2022-06-23T22:57:53Z,Ember,Clothing: I Need My Bean! Toque,14.99,1
19,Yes,Miami,Gourmet brewed coffee: Columbian Medium Roast Lg,2022-08-25T03:46:20Z,Ivy,Gourmet brewed coffee: Columbian Medium Roast Lg,6.99,0
59,Yes,Key West,Drip coffee: Our Old Time Diner Blend Rg,2023-02-20T09:31:26Z,Luna,Drip coffee: Our Old Time Diner Blend Rg,3.99,1
57,Yes,Key West,Biscotti: Chocolate Chip Biscotti,2023-03-21T06:54:22Z,Luna,Biscotti: Chocolate Chip Biscotti,2.49,0
40,Yes,Key West,Drip coffee: Our Old Time Diner Blend Lg,2023-04-10T14:17:24Z,Ivy,Drip coffee: Our Old Time Diner Blend Lg,4.99,0
56,Yes,Key West,Hot chocolate: Dark chocolate Rg,2022-11-07T12:09:40Z,Phoenix,Hot chocolate: Dark chocolate Rg,4.99,1
53,Yes,Key West,Espresso Beans: Primo Espresso Roast,2023-04-06T05:24:41Z,Violet,Espresso Beans: Primo Espresso Roast,16.99,1
61,Yes,Key West,Barista Espresso: Latte Rg,2023-05-15T10:19:11Z,Stella,Barista Espresso: Latte Rg,5.99,0
18,Yes,Miami,Specialty coffee: Rio Nights,2022-11-12T23:31:09Z,Savannah,Specialty coffee: Rio Nights,11.99,0
39,Yes,Key West,Hot chocolate: Snow Day Hot Chocolate,2023-05-08T13:53:03Z,Lola,Hot chocolate: Snow Day Hot Chocolate,6.99,0
42,Yes,Miami,Barista Espresso: Ouro Brasileiro shot promo,2023-01-11T09:12:03Z,Jasmine,Barista Espresso: Ouro Brasileiro shot promo,2.99,0
58,Yes,Key West,Organic Chocolate: Sustainably Grown Organic,2023-01-04T03:42:45Z,Seraphina,Organic Chocolate: Sustainably Grown Organic,9.99,1
49,No,Key West,Scone: Ginger Scone promo,2023-01-01T11:59:41Z,Amara,Scone: Ginger Scone promo,2.49,0
59,Yes,Key West,Regular syrup: Carmel syrup,2022-07-17T07:30:39Z,Zara,Regular syrup: Carmel syrup,3.99,0
52,Yes,Key West,Scone: Oatmeal Scone,2023-02-07T11:10:26Z,Ruby,Scone: Oatmeal Scone,3.49,0
40,Yes,Key West,Drip coffee: Our Old Time Diner Blend Lg,2023-05-15T08:27:03Z,Violet,Drip coffee: Our Old Time Diner Blend Lg,4.99,0
40,Yes,Key West,Drip coffee: Our Old Time Diner Blend Rg,2022-10-07T02:33:09Z,Ivy,Drip coffee: Our Old Time Diner Blend Rg,3.99,0
39,Yes,Key West,Clothing: I Need My Bean! T-shirt,2023-06-03T11:30:07Z,Ivy,Clothing: I Need My Bean! T-shirt,19.99,0
51,Yes,Key West,Barista Espresso: Latte Rg,2023-03-21T07:09:41Z,Zara,Barista Espresso: Latte Rg,5.99,0
54,Yes,Key West,Barista Espresso: Ouro Brasileiro shot,2023-02-07T09:26:29Z,Scarlett,Barista Espresso: Ouro Brasileiro shot,3.99,1
21,Yes,Key West,Premium brewed coffee: Jamaican Coffee River Sm,2022-09-21T19:46:40Z,Sienna,Premium brewed coffee: Jamaican Coffee River Sm,5.99,0
56,Yes,Key West,Barista Espresso: Latte Rg,2022-08-31T07:24:07Z,Cleo,Barista Espresso: Latte Rg,5.99,0
19,Yes,Key West,Brewed Black tea: Earl Grey Rg,2022-09-25T09:06:54Z,Luna,Brewed Black tea: Earl Grey Rg,3.99,0
60,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2023-06-13T13:42:11Z,Sienna,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
32,Yes,Key West,Seasonal drink: Pumpkin Spice Latte,2022-11-23T19:29:43Z,Amara,Seasonal drink: Pumpkin Spice Latte,5.99,0
17,Yes,Miami,Brewed Black tea: Earl Grey Rg,2023-04-06T11:10:12Z,Aurora,Brewed Black tea: Earl Grey Rg,3.99,0
36,No,Tampa,Hot chocolate: Sustainably Grown Organic Rg,2022-12-02T05:03:03Z,Ember,Hot chocolate: Sustainably Grown Organic Rg,5.99,1
26,Yes,Key West,Premium Beans: Civet Cat,2023-03-25T08:31:14Z,Willow,Premium Beans: Civet Cat,59.99,0
38,No,Miami,Herbal tea: Peppermint,2022-07-14T17:27:49Z,Willow,Herbal tea: Peppermint,4.99,1
39,Yes,Miami,Regular syrup: Chocolate syrup,2022-10-11T05:28:32Z,Amara,Regular syrup: Chocolate syrup,3.99,0
32,No,Jacksonville,Premium brewed coffee: Jamaican Coffee River Sm,2022-11-25T09:53:41Z,Phoenix,Premium brewed coffee: Jamaican Coffee River Sm,5.99,0
61,No,Miami,Hot chocolate: Snow Day Hot Chocolate,2022-09-03T09:17:50Z,Amara,Hot chocolate: Snow Day Hot Chocolate,6.99,1
26,No,Key West,Barista Espresso: Ouro Brasileiro shot,2022-12-04T01:27:44Z,Aria,Barista Espresso: Ouro Brasileiro shot,3.99,0
45,Yes,Miami,Drinking Chocolate: Chili Mayan,2022-07-13T21:23:02Z,Nova,Drinking Chocolate: Chili Mayan,9.99,1
12,Yes,Key West,Brewed Chai tea: Spicy Eye Opener Chai Rg,2023-05-13T22:33:25Z,Amara,Brewed Chai tea: Spicy Eye Opener Chai Rg,4.99,0
52,Yes,Key West,Seasonal drink: Happy Holidays hot chocolate,2022-12-21T08:12:50Z,Lola,Seasonal drink: Happy Holidays hot chocolate,5.99,0
63,Yes,Key West,Organic brewed coffee: Brazilian Sm,2022-12-30T04:36:50Z,Luna,Organic brewed coffee: Brazilian Sm,3.99,0
64,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2023-02-09T23:26:01Z,Phoenix,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
33,Yes,Key West,Barista Espresso: Ouro Brasileiro shot,2023-03-06T05:07:07Z,Ember,Barista Espresso: Ouro Brasileiro shot,3.99,0
52,Yes,Key West,Brewed herbal tea: Lemon Grass Lg,2023-05-21T19:48:13Z,Phoenix,Brewed herbal tea: Lemon Grass Lg,4.99,0
70,Yes,Key West,Biscotti: Chocolate Chip Biscotti,2023-05-27T08:36:58Z,Scarlett,Biscotti: Chocolate Chip Biscotti,2.49,0
27,Yes,Miami,House blend Beans: Our Old Time Diner Blend,2022-10-15T02:57:57Z,Zara,House blend Beans: Our Old Time Diner Blend,9.99,0
70,Yes,Key West,Scone: Jumbo Savory Scone,2022-11-04T21:02:28Z,Ruby,Scone: Jumbo Savory Scone,4.99,0
37,No,Miami,Sugar free syrup: Sugar Free Vanilla syrup,2023-02-11T21:32:26Z,Aurora,Sugar free syrup: Sugar Free Vanilla syrup,4.99,1
57,Yes,Key West,Green tea: Serenity Green Tea,2023-02-13T21:48:57Z,Stella,Green tea: Serenity Green Tea,5.99,1
53,Yes,Key West,Organic brewed coffee: Brazilian Sm,2022-09-30T01:29:57Z,Ivy,Organic brewed coffee: Brazilian Sm,3.99,0
31,Yes,Key West,Barista Espresso: Ouro Brasileiro shot,2022-08-11T05:06:28Z,Violet,Barista Espresso: Ouro Brasileiro shot,3.99,0
54,Yes,Key West,Organic Beans: Brazilian - Organic,2022-09-26T17:08:31Z,Stella,Organic Beans: Brazilian - Organic,12.99,0
44,Yes,Key West,Regular syrup: Chocolate syrup,2022-08-24T15:12:48Z,Seraphina,Regular syrup: Chocolate syrup,3.99,0
27,No,Tampa,Drinking Chocolate: Dark chocolate,2023-04-22T12:48:55Z,Cleo,Drinking Chocolate: Dark chocolate,8.99,1
75,Yes,Key West,Black tea: Earl Grey,2022-07-02T11:57:13Z,Nova,Black tea: Earl Grey,3.99,0
23,No,Miami,Drinking Chocolate: Dark chocolate,2022-11-04T01:24:02Z,Zara,Drinking Chocolate: Dark chocolate,8.99,1
48,Yes,Key West,Scone: Jumbo Savory Scone,2022-12-17T01:27:54Z,Jasmine,Scone: Jumbo Savory Scone,4.99,0
67,Yes,Miami,Hot chocolate: Sustainably Grown Organic Rg,2022-11-28T09:42:47Z,Stella,Hot chocolate: Sustainably Grown Organic Rg,5.99,0
47,Yes,Key West,Chai tea: Traditional Blend Chai,2022-12-16T08:06:52Z,Violet,Chai tea: Traditional Blend Chai,4.99,1
24,No,Tampa,Gourmet brewed coffee: Ethiopia Lg,2023-03-07T22:20:30Z,Luna,Gourmet brewed coffee: Ethiopia Lg,6.99,1
39,Yes,Key West,Brewed Green tea: Serenity Green Tea Lg,2022-08-31T04:46:31Z,Scarlett,Brewed Green tea: Serenity Green Tea Lg,5.99,0
33,Yes,Miami,Gourmet Beans: Columbian Medium Roast,2023-01-25T22:26:13Z,Aurora,Gourmet Beans: Columbian Medium Roast,11.99,0
37,Yes,Key West,Premium brewed coffee: Jamaican Coffee River Sm,2022-07-06T08:20:04Z,Ember,Premium brewed coffee: Jamaican Coffee River Sm,5.99,0
19,Yes,Key West,Gourmet brewed coffee: Ethiopia Lg,2022-07-05T16:32:28Z,Violet,Gourmet brewed coffee: Ethiopia Lg,6.99,0
56,Yes,Key West,Hot chocolate: Sustainably Grown Organic Lg,2022-08-05T07:08:48Z,Seraphina,Hot chocolate: Sustainably Grown Organic Lg,6.99,0
56,Yes,Key West,Seasonal drink: Happy Holidays hot chocolate,2022-12-29T06:31:16Z,Ivy,Seasonal drink: Happy Holidays hot chocolate,5.99,0
60,Yes,Key West,Organic Chocolate: Sustainably Grown Organic,2022-09-11T21:57:20Z,Stella,Organic Chocolate: Sustainably Grown Organic,9.99,0
62,Yes,Miami,Organic Beans: Brazilian - Organic,2022-09-12T21:03:05Z,Luna,Organic Beans: Brazilian - Organic,12.99,0
61,Yes,Key West,Clothing: I Need My Bean! T-shirt,2023-03-31T19:51:36Z,Scarlett,Clothing: I Need My Bean! T-shirt,19.99,1
58,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2023-02-19T04:55:43Z,Ruby,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
75,No,Key West,Barista Espresso: Ouro Brasileiro shot,2022-08-24T12:53:37Z,Amara,Barista Espresso: Ouro Brasileiro shot,3.99,1
22,Yes,Key West,Barista Espresso: Ouro Brasileiro shot,2023-01-19T16:58:39Z,Seraphina,Barista Espresso: Ouro Brasileiro shot,3.99,0
62,Yes,Key West,Clothing: I Need My Bean! T-shirt,2022-11-25T22:28:24Z,Sienna,Clothing: I Need My Bean! T-shirt,19.99,1
35,Yes,Miami,Espresso Beans: Primo Espresso Roast,2022-11-11T08:25:59Z,Aria,Espresso Beans: Primo Espresso Roast,16.99,0
27,No,Jacksonville,Seasonal drink: Happy Holidays hot chocolate,2023-05-17T08:13:41Z,Amara,Seasonal drink: Happy Holidays hot chocolate,5.99,0
50,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2022-07-26T19:35:33Z,Amara,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
12,No,Tampa,Premium brewed coffee: Jamaican Coffee River Lg,2023-03-30T21:02:20Z,Willow,Premium brewed coffee: Jamaican Coffee River Lg,7.99,1
58,No,Key West,Brewed herbal tea: Lemon Grass Lg,2022-07-26T18:09:19Z,Lola,Brewed herbal tea: Lemon Grass Lg,4.99,0
31,No,Jacksonville,Gourmet brewed coffee: Ethiopia Lg,2022-09-02T23:37:18Z,Willow,Gourmet brewed coffee: Ethiopia Lg,6.99,0
52,Yes,Key West,Sugar free syrup: Sugar Free Vanilla syrup,2023-04-25T09:05:44Z,Cleo,Sugar free syrup: Sugar Free Vanilla syrup,4.99,0
31,Yes,Key West,Chai tea: Spicy Eye Opener Chai,2023-06-12T12:12:26Z,Stella,Chai tea: Spicy Eye Opener Chai,4.99,0
62,No,Key West,Scone: Jumbo Savory Scone,2022-09-22T20:40:48Z,Violet,Scone: Jumbo Savory Scone,4.99,0
30,No,Tampa,Black tea: Earl Grey,2023-04-30T04:36:49Z,Savannah,Black tea: Earl Grey,3.99,1
17,Yes,Key West,Gourmet brewed coffee: Columbian Medium Roast Lg,2023-02-18T16:18:06Z,Ruby,Gourmet brewed coffee: Columbian Medium Roast Lg,6.99,0
44,No,Key West,Brewed Green tea: Serenity Green Tea Rg,2022-09-22T04:45:25Z,Ivy,Brewed Green tea: Serenity Green Tea Rg,4.99,0
55,No,Key West,Barista Espresso: Latte Rg,2022-12-10T18:31:49Z,Lola,Barista Espresso: Latte Rg,5.99,0
74,No,Key West,Herbal tea: Peppermint,2022-08-11T05:38:41Z,Lola,Herbal tea: Peppermint,4.99,0
40,No,Tampa,Scone: Cranberry Scone,2022-12-04T05:34:33Z,Amara,Scone: Cranberry Scone,3.49,1
39,Yes,Key West,Organic Beans: Organic Decaf Blend,2023-03-20T11:40:42Z,Willow,Organic Beans: Organic Decaf Blend,10.99,0
34,Yes,Miami,Organic Beans: Organic Decaf Blend,2023-05-02T04:40:26Z,Willow,Organic Beans: Organic Decaf Blend,10.99,0
50,No,Miami,Brewed herbal tea: Lemon Grass Lg,2023-01-31T20:56:44Z,Zara,Brewed herbal tea: Lemon Grass Lg,4.99,1
67,Yes,Miami,Scone: Cranberry Scone,2023-03-01T22:12:11Z,Ruby,Scone: Cranberry Scone,3.49,0
25,No,Tampa,Barista Espresso: Latte Rg,2023-06-04T14:08:46Z,Sienna,Barista Espresso: Latte Rg,5.99,1
38,No,Miami,Organic Beans: Brazilian - Organic,2022-09-21T06:48:47Z,Jasmine,Organic Beans: Brazilian - Organic,12.99,1
30,Yes,Key West,House blend Beans: Our Old Time Diner Blend,2022-09-24T01:49:41Z,Savannah,House blend Beans: Our Old Time Diner Blend,9.99,0
67,Yes,Key West,Scone: Jumbo Savory Scone,2022-10-13T23:27:07Z,Sienna,Scone: Jumbo Savory Scone,4.99,0
29,Yes,Key West,Drip coffee: Our Old Time Diner Blend Rg,2023-01-03T07:22:55Z,Aria,Drip coffee: Our Old Time Diner Blend Rg,3.99,0
17,Yes,Key West,Brewed herbal tea: Peppermint Lg,2023-02-08T02:04:46Z,Cleo,Brewed herbal tea: Peppermint Lg,4.99,0
32,No,Key West,Drip coffee: Our Old Time Diner Blend Lg,2022-10-21T14:01:06Z,Zara,Drip coffee: Our Old Time Diner Blend Lg,4.99,0
30,Yes,Key West,Premium Beans: Civet Cat,2022-09-04T16:08:37Z,Stella,Premium Beans: Civet Cat,59.99,0
51,Yes,Miami,Green tea: Serenity Green Tea,2022-06-30T06:57:21Z,Savannah,Green tea: Serenity Green Tea,5.99,1
31,No,Miami,Barista Espresso: Latte,2023-03-31T18:33:26Z,Violet,Barista Espresso: Latte,4.99,1
34,Yes,Jacksonville,Drinking Chocolate: Chili Mayan,2022-07-01T06:43:55Z,Willow,Drinking Chocolate: Chili Mayan,9.99,0
48,Yes,Key West,Organic Beans: Brazilian - Organic,2023-02-01T00:02:40Z,Luna,Organic Beans: Brazilian - Organic,12.99,0
25,Yes,Miami,Gourmet Beans: Columbian Medium Roast,2022-09-12T23:02:17Z,Ruby,Gourmet Beans: Columbian Medium Roast,11.99,0
44,Yes,Key West,Scone: Ginger Scone promo,2022-10-02T03:14:47Z,Jasmine,Scone: Ginger Scone promo,2.49,0
33,Yes,Key West,Green tea: Serenity Green Tea,2023-02-26T13:46:18Z,Lola,Green tea: Serenity Green Tea,5.99,0
64,No,Key West,Organic Chocolate: Sustainably Grown Organic,2023-04-20T19:01:25Z,Jasmine,Organic Chocolate: Sustainably Grown Organic,9.99,1
53,Yes,Key West,Brewed Chai tea: Traditional Blend Chai Lg,2022-11-12T13:05:55Z,Luna,Brewed Chai tea: Traditional Blend Chai Lg,5.99,0
62,Yes,Key West,Barista Espresso: Latte Rg,2022-09-24T03:58:54Z,Seraphina,Barista Espresso: Latte Rg,5.99,0
60,Yes,Jacksonville,Brewed Green tea: Serenity Green Tea Lg,2023-05-24T09:52:28Z,Ruby,Brewed Green tea: Serenity Green Tea Lg,5.99,1
60,Yes,Key West,Barista Espresso: Cappuccino Lg,2022-12-21T18:15:23Z,Jasmine,Barista Espresso: Cappuccino Lg,5.99,1
66,No,Miami,Brewed Chai tea: Traditional Blend Chai Lg,2023-01-15T06:57:12Z,Phoenix,Brewed Chai tea: Traditional Blend Chai Lg,5.99,1
24,Yes,Miami,Organic Beans: Organic Decaf Blend,2023-03-08T21:21:16Z,Jasmine,Organic Beans: Organic Decaf Blend,10.99,0
62,Yes,Key West,Hot chocolate: Sustainably Grown Organic Lg,2023-06-15T14:04:05Z,Aurora,Hot chocolate: Sustainably Grown Organic Lg,6.99,0
36,Yes,Miami,Gourmet brewed coffee: Ethiopia Sm,2023-04-27T08:23:45Z,Ruby,Gourmet brewed coffee: Ethiopia Sm,4.99,0
21,No,Tampa,Drinking Chocolate: Chili Mayan,2023-01-26T11:28:28Z,Ember,Drinking Chocolate: Chili Mayan,9.99,1
21,Yes,Miami,Chai tea: Morning Sunrise Chai,2022-09-28T21:09:13Z,Stella,Chai tea: Morning Sunrise Chai,4.99,0
59,No,Key West,Brewed herbal tea: Lemon Grass Lg,2022-10-13T03:29:34Z,Aurora,Brewed herbal tea: Lemon Grass Lg,4.99,0
22,Yes,Key West,Barista Espresso: Cappuccino Lg,2022-07-11T10:53:14Z,Scarlett,Barista Espresso: Cappuccino Lg,5.99,0
64,Yes,Key West,Organic Beans: Brazilian - Organic,2023-05-24T03:50:16Z,Ruby,Organic Beans: Brazilian - Organic,12.99,0
34,Yes,Key West,Drip coffee: Our Old Time Diner Blend Rg,2022-12-11T13:52:23Z,Ember,Drip coffee: Our Old Time Diner Blend Rg,3.99,0
55,Yes,Key West,Scone: Cranberry Scone,2022-08-02T02:54:46Z,Nova,Scone: Cranberry Scone,3.49,0
67,Yes,Key West,Scone: Jumbo Savory Scone,2022-09-20T16:36:33Z,Savannah,Scone: Jumbo Savory Scone,4.99,0
47,No,Tampa,Scone: Ginger Scone,2022-10-01T18:50:17Z,Aria,Scone: Ginger Scone,3.49,1
54,Yes,Miami,Chai tea: Morning Sunrise Chai,2022-10-18T13:37:11Z,Amara,Chai tea: Morning Sunrise Chai,4.99,1
63,No,Key West,Premium Beans: Civet Cat,2022-07-14T01:31:12Z,Violet,Premium Beans: Civet Cat,59.99,1
59,Yes,Key West,Barista Espresso: Ouro Brasileiro shot,2023-04-11T11:26:02Z,Ruby,Barista Espresso: Ouro Brasileiro shot,3.99,1
59,Yes,Key West,Scone: Ginger Scone promo,2022-11-18T17:05:15Z,Stella,Scone: Ginger Scone promo,2.49,0
57,Yes,Miami,Chai tea: Spicy Eye Opener Chai,2022-07-17T21:49:56Z,Amara,Chai tea: Spicy Eye Opener Chai,4.99,1
72,Yes,Key West,Drinking Chocolate: Dark chocolate,2023-04-03T07:57:56Z,Nova,Drinking Chocolate: Dark chocolate,8.99,0
69,No,Key West,Hot chocolate: Snow Day Hot Chocolate,2022-09-07T22:20:15Z,Luna,Hot chocolate: Snow Day Hot Chocolate,6.99,0
